tahun,bulan,kode_valuta,nama_valuta,nilai_impor
2005,"Januari","AED","Dirham Uni Emirat Arab",0
2005,"Januari","ATS","Schilling Austria",0
2005,"Januari","AUD","Dolar Australia",19676
2005,"Januari","BEF","Franc Belgia",0
2005,"Januari","BND","Dolar Brunei",0
2005,"Januari","CAD","Dolar Kanada",884
2005,"Januari","CHF","Franc Swiss",10795
2005,"Januari","CNY","Yuan Renminbi China",0
2005,"Januari","DEM","Mark Jerman",0
2005,"Januari","DKK","Krone Denmark",898
2005,"Januari","EUR","Euro",203479
2005,"Januari","FRF","Franc Perancis",0
2005,"Januari","GBP","Poundsterling Inggris",9894
2005,"Januari","HKD","Dolar Hong Kong",13562
2005,"Januari","IDR","Rupiah Indonesia",21965
2005,"Januari","ITL","Lira Italia",0
2005,"Januari","JPY","Yen Jepang",291039
2005,"Januari","KRW","Won Korea",0
2005,"Januari","MYR","Ringgit Malaysia",2752
2005,"Januari","NLG","Gulden Belanda",25
2005,"Januari","NOK","Krone Norwegia",277
2005,"Januari","NZD","Dolar Selandia Baru",380
2005,"Januari","PHP","Peso Filipina",0
2005,"Januari","QAR","Riyal Qatar",0
2005,"Januari","SAR","Riyal Saudi Arabia",0
2005,"Januari","SEK","Krone Swedia",1616
2005,"Januari","SGD","Dolar Singapura",74376
2005,"Januari","THB","Baht Thailand",8429
2005,"Januari","TWD","Dolar Taiwan",25
2005,"Januari","USD","Dolar Amerika Serikat",4724714
2005,"Januari","Lainnya","Valuta lainnya",6141
2005,"Januari","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",45000
2005,"Januari","Lainnya","Asuransi dan ongkos pengangkutan",450617
2005,"Februari","AED","Dirham Uni Emirat Arab",0
2005,"Februari","ATS","Schilling Austria",0
2005,"Februari","AUD","Dolar Australia",39262
2005,"Februari","BEF","Franc Belgia",0
2005,"Februari","BND","Dolar Brunei",1
2005,"Februari","CAD","Dolar Kanada",1024
2005,"Februari","CHF","Franc Swiss",7691
2005,"Februari","CNY","Yuan Renminbi China",0
2005,"Februari","DEM","Mark Jerman",0
2005,"Februari","DKK","Krone Denmark",461
2005,"Februari","EUR","Euro",218611
2005,"Februari","FRF","Franc Perancis",27
2005,"Februari","GBP","Poundsterling Inggris",7814
2005,"Februari","HKD","Dolar Hong Kong",13960
2005,"Februari","IDR","Rupiah Indonesia",26073
2005,"Februari","ITL","Lira Italia",0
2005,"Februari","JPY","Yen Jepang",300343
2005,"Februari","KRW","Won Korea",0
2005,"Februari","MYR","Ringgit Malaysia",3827
2005,"Februari","NLG","Gulden Belanda",0
2005,"Februari","NOK","Krone Norwegia",438
2005,"Februari","NZD","Dolar Selandia Baru",37
2005,"Februari","PHP","Peso Filipina",0
2005,"Februari","QAR","Riyal Qatar",0
2005,"Februari","SAR","Riyal Saudi Arabia",0
2005,"Februari","SEK","Krone Swedia",1353
2005,"Februari","SGD","Dolar Singapura",496533
2005,"Februari","THB","Baht Thailand",9635
2005,"Februari","TWD","Dolar Taiwan",74
2005,"Februari","USD","Dolar Amerika Serikat",4912608
2005,"Februari","Lainnya","Valuta lainnya",5224
2005,"Februari","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",36000
2005,"Februari","Lainnya","Asuransi dan ongkos pengangkutan",508235
2005,"Maret","AED","Dirham Uni Emirat Arab",0
2005,"Maret","ATS","Schilling Austria",0
2005,"Maret","AUD","Dolar Australia",33121
2005,"Maret","BEF","Franc Belgia",0
2005,"Maret","BND","Dolar Brunei",0
2005,"Maret","CAD","Dolar Kanada",270
2005,"Maret","CHF","Franc Swiss",10236
2005,"Maret","CNY","Yuan Renminbi China",0
2005,"Maret","DEM","Mark Jerman",0
2005,"Maret","DKK","Krone Denmark",695
2005,"Maret","EUR","Euro",246300
2005,"Maret","FRF","Franc Perancis",0
2005,"Maret","GBP","Poundsterling Inggris",12804
2005,"Maret","HKD","Dolar Hong Kong",11582
2005,"Maret","IDR","Rupiah Indonesia",33375
2005,"Maret","ITL","Lira Italia",0
2005,"Maret","JPY","Yen Jepang",388814
2005,"Maret","KRW","Won Korea",0
2005,"Maret","MYR","Ringgit Malaysia",5649
2005,"Maret","NLG","Gulden Belanda",0
2005,"Maret","NOK","Krone Norwegia",106
2005,"Maret","NZD","Dolar Selandia Baru",105
2005,"Maret","PHP","Peso Filipina",16
2005,"Maret","QAR","Riyal Qatar",0
2005,"Maret","SAR","Riyal Saudi Arabia",0
2005,"Maret","SEK","Krone Swedia",2245
2005,"Maret","SGD","Dolar Singapura",102458
2005,"Maret","THB","Baht Thailand",10977
2005,"Maret","TWD","Dolar Taiwan",67
2005,"Maret","USD","Dolar Amerika Serikat",6087097
2005,"Maret","Lainnya","Valuta lainnya",8298
2005,"Maret","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",41000
2005,"Maret","Lainnya","Asuransi dan ongkos pengangkutan",582683
2005,"April","AED","Dirham Uni Emirat Arab",0
2005,"April","ATS","Schilling Austria",0
2005,"April","AUD","Dolar Australia",38246
2005,"April","BEF","Franc Belgia",0
2005,"April","BND","Dolar Brunei",0
2005,"April","CAD","Dolar Kanada",1455
2005,"April","CHF","Franc Swiss",27348
2005,"April","CNY","Yuan Renminbi China",0
2005,"April","DEM","Mark Jerman",0
2005,"April","DKK","Krone Denmark",650
2005,"April","EUR","Euro",249425
2005,"April","FRF","Franc Perancis",0
2005,"April","GBP","Poundsterling Inggris",16040
2005,"April","HKD","Dolar Hong Kong",14453
2005,"April","IDR","Rupiah Indonesia",34124
2005,"April","ITL","Lira Italia",0
2005,"April","JPY","Yen Jepang",368941
2005,"April","KRW","Won Korea",0
2005,"April","MYR","Ringgit Malaysia",3960
2005,"April","NLG","Gulden Belanda",0
2005,"April","NOK","Krone Norwegia",508
2005,"April","NZD","Dolar Selandia Baru",199
2005,"April","PHP","Peso Filipina",1624
2005,"April","QAR","Riyal Qatar",0
2005,"April","SAR","Riyal Saudi Arabia",4
2005,"April","SEK","Krone Swedia",1526
2005,"April","SGD","Dolar Singapura",187268
2005,"April","THB","Baht Thailand",9895
2005,"April","TWD","Dolar Taiwan",290
2005,"April","USD","Dolar Amerika Serikat",5218488
2005,"April","Lainnya","Valuta lainnya",7140
2005,"April","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",56000
2005,"April","Lainnya","Asuransi dan ongkos pengangkutan",515984
2005,"Mei","AED","Dirham Uni Emirat Arab",0
2005,"Mei","ATS","Schilling Austria",0
2005,"Mei","AUD","Dolar Australia",28304
2005,"Mei","BEF","Franc Belgia",0
2005,"Mei","BND","Dolar Brunei",64
2005,"Mei","CAD","Dolar Kanada",1841
2005,"Mei","CHF","Franc Swiss",17443
2005,"Mei","CNY","Yuan Renminbi China",0
2005,"Mei","DEM","Mark Jerman",0
2005,"Mei","DKK","Krone Denmark",295
2005,"Mei","EUR","Euro",244764
2005,"Mei","FRF","Franc Perancis",0
2005,"Mei","GBP","Poundsterling Inggris",11092
2005,"Mei","HKD","Dolar Hong Kong",16572
2005,"Mei","IDR","Rupiah Indonesia",42044
2005,"Mei","ITL","Lira Italia",0
2005,"Mei","JPY","Yen Jepang",293947
2005,"Mei","KRW","Won Korea",0
2005,"Mei","MYR","Ringgit Malaysia",7374
2005,"Mei","NLG","Gulden Belanda",0
2005,"Mei","NOK","Krone Norwegia",560
2005,"Mei","NZD","Dolar Selandia Baru",235
2005,"Mei","PHP","Peso Filipina",7
2005,"Mei","QAR","Riyal Qatar",0
2005,"Mei","SAR","Riyal Saudi Arabia",0
2005,"Mei","SEK","Krone Swedia",2107
2005,"Mei","SGD","Dolar Singapura",106605
2005,"Mei","THB","Baht Thailand",10849
2005,"Mei","TWD","Dolar Taiwan",75
2005,"Mei","USD","Dolar Amerika Serikat",5841457
2005,"Mei","Lainnya","Valuta lainnya",8831
2005,"Mei","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",96000
2005,"Mei","Lainnya","Asuransi dan ongkos pengangkutan",555719
2005,"Juni","AED","Dirham Uni Emirat Arab",0
2005,"Juni","ATS","Schilling Austria",0
2005,"Juni","AUD","Dolar Australia",36220
2005,"Juni","BEF","Franc Belgia",0
2005,"Juni","BND","Dolar Brunei",1
2005,"Juni","CAD","Dolar Kanada",425
2005,"Juni","CHF","Franc Swiss",11113
2005,"Juni","CNY","Yuan Renminbi China",0
2005,"Juni","DEM","Mark Jerman",0
2005,"Juni","DKK","Krone Denmark",661
2005,"Juni","EUR","Euro",219901
2005,"Juni","FRF","Franc Perancis",0
2005,"Juni","GBP","Poundsterling Inggris",12598
2005,"Juni","HKD","Dolar Hong Kong",15689
2005,"Juni","IDR","Rupiah Indonesia",37434
2005,"Juni","ITL","Lira Italia",0
2005,"Juni","JPY","Yen Jepang",319737
2005,"Juni","KRW","Won Korea",0
2005,"Juni","MYR","Ringgit Malaysia",3887
2005,"Juni","NLG","Gulden Belanda",0
2005,"Juni","NOK","Krone Norwegia",538
2005,"Juni","NZD","Dolar Selandia Baru",253
2005,"Juni","PHP","Peso Filipina",10
2005,"Juni","QAR","Riyal Qatar",0
2005,"Juni","SAR","Riyal Saudi Arabia",0
2005,"Juni","SEK","Krone Swedia",1764
2005,"Juni","SGD","Dolar Singapura",110542
2005,"Juni","THB","Baht Thailand",8167
2005,"Juni","TWD","Dolar Taiwan",74
2005,"Juni","USD","Dolar Amerika Serikat",5350529
2005,"Juni","Lainnya","Valuta lainnya",6172
2005,"Juni","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",88000
2005,"Juni","Lainnya","Asuransi dan ongkos pengangkutan",513247
2005,"Juli","AED","Dirham Uni Emirat Arab",0
2005,"Juli","ATS","Schilling Austria",0
2005,"Juli","AUD","Dolar Australia",59234
2005,"Juli","BEF","Franc Belgia",0
2005,"Juli","BND","Dolar Brunei",12
2005,"Juli","CAD","Dolar Kanada",993
2005,"Juli","CHF","Franc Swiss",23029
2005,"Juli","CNY","Yuan Renminbi China",0
2005,"Juli","DEM","Mark Jerman",0
2005,"Juli","DKK","Krone Denmark",636
2005,"Juli","EUR","Euro",224069
2005,"Juli","FRF","Franc Perancis",0
2005,"Juli","GBP","Poundsterling Inggris",9770
2005,"Juli","HKD","Dolar Hong Kong",10593
2005,"Juli","IDR","Rupiah Indonesia",34747
2005,"Juli","ITL","Lira Italia",0
2005,"Juli","JPY","Yen Jepang",342877
2005,"Juli","KRW","Won Korea",0
2005,"Juli","MYR","Ringgit Malaysia",5634
2005,"Juli","NLG","Gulden Belanda",0
2005,"Juli","NOK","Krone Norwegia",457
2005,"Juli","NZD","Dolar Selandia Baru",405
2005,"Juli","PHP","Peso Filipina",1001
2005,"Juli","QAR","Riyal Qatar",0
2005,"Juli","SAR","Riyal Saudi Arabia",1
2005,"Juli","SEK","Krone Swedia",1585
2005,"Juli","SGD","Dolar Singapura",148351
2005,"Juli","THB","Baht Thailand",7105
2005,"Juli","TWD","Dolar Taiwan",108
2005,"Juli","USD","Dolar Amerika Serikat",5655126
2005,"Juli","Lainnya","Valuta lainnya",8002
2005,"Juli","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",53000
2005,"Juli","Lainnya","Asuransi dan ongkos pengangkutan",544055
2005,"Agustus","AED","Dirham Uni Emirat Arab",0
2005,"Agustus","ATS","Schilling Austria",0
2005,"Agustus","AUD","Dolar Australia",52892
2005,"Agustus","BEF","Franc Belgia",0
2005,"Agustus","BND","Dolar Brunei",0
2005,"Agustus","CAD","Dolar Kanada",604
2005,"Agustus","CHF","Franc Swiss",21266
2005,"Agustus","CNY","Yuan Renminbi China",0
2005,"Agustus","DEM","Mark Jerman",0
2005,"Agustus","DKK","Krone Denmark",312
2005,"Agustus","EUR","Euro",243353
2005,"Agustus","FRF","Franc Perancis",0
2005,"Agustus","GBP","Poundsterling Inggris",12914
2005,"Agustus","HKD","Dolar Hong Kong",13780
2005,"Agustus","IDR","Rupiah Indonesia",45140
2005,"Agustus","ITL","Lira Italia",0
